D.mel FBtr	locus
FBtr0073984	NC_057931.1_cds_XP_001966058.1_22599
FBtr0078003	NC_057930.1_cds_XP_001961562.1_21188
FBtr0078333	NC_057928.1_cds_XP_001956986.1_9763
FBtr0078334	NC_057928.1_cds_XP_001956987.1_9762
FBtr0078335	NC_057928.1_cds_XP_001956986.1_9763
FBtr0081690	NC_057927.1_cds_XP_001953518.1_2035
FBtr0082351	NC_057927.1_cds_XP_001954220.1_3165
FBtr0082362	NC_057927.1_cds_XP_001954220.1_3165
FBtr0085401	NC_057927.1_cds_XP_001964723.1_6253
FBtr0085512	NC_057927.1_cds_XP_032305561.1_6274
FBtr0086927	NC_057929.1_cds_XP_044571797.1_14123
FBtr0088122	NC_057929.1_cds_XP_032306639.1_11987
FBtr0088161	NC_057929.1_cds_XP_001958752.1_11984
FBtr0332431	NC_057927.1_cds_XP_001964723.1_6253
FBtr333286	NC_057928.1_cds_XP_001956986.1_9763
FBtr333286 	NC_057929.1_cds_XP_001960034.4_14297
FBtr0343848	NC_057930.1_cds_XP_001962427.1_19774
FBtr0345928	NC_057929.1_cds_XP_032306639.1_11987
FBtr0346098	NC_057927.1_cds_XP_001954220.1_3165
FBtr0078003	NC_057927.1_cds_XP_001954420.3_3513
FBtr0081596	NC_057927.1_cds_XP_032312280.1_1545
FBtr0081538	NC_057927.1_cds_XP_001953205.1_1470
FBtr0333190	NC_057927.1_cds_XP_001954749.1_4032
FBtr0081973	NC_057927.1_cds_XP_001954749.1_4032
FBtr0334618	NC_057927.1_cds_XP_001955575.2_5414
FBtr0082103	NC_057927.1_cds_XP_001955575.2_5414
FBtr0306696	NC_057927.1_cds_XP_014766609.1_1842
FBtr0082489	NC_057927.1_cds_XP_044570179.1_1845
FBtr0082490	NC_057927.1_cds_XP_014766609.1_1842
FBtr0082491	NC_057927.1_cds_XP_044570179.1_1845
FBtr0082492	NC_057927.1_cds_XP_044570179.1_1845
FBtr0082493	NC_057927.1_cds_XP_032305364.1_1839
FBtr0082494	NC_057927.1_cds_XP_014766604.1_1838
FBtr0082495	NC_057927.1_cds_XP_014766604.1_1838
FBtr0082496	NC_057927.1_cds_XP_044570181.1_1848
FBtr0082497	NC_057927.1_cds_XP_014766609.1_1842
FBtr0082498	NC_057927.1_cds_XP_014766609.1_1842
FBtr0082499	NC_057927.1_cds_XP_014766609.1_1842
FBtr0082500	NC_057927.1_cds_XP_014766604.1_1838
FBtr0082501	NC_057927.1_cds_XP_044570181.1_1848
FBtr0082502	NC_057927.1_cds_XP_032305364.1_1839
FBtr0082503	NC_057927.1_cds_XP_044570179.1_1845
FBtr0082888	NC_057927.1_cds_XP_044570003.1_5278
FBtr0082889	NC_057927.1_cds_XP_044570003.1_5278
FBtr0082947	NC_057927.1_cds_XP_014760807.1_6726
FBtr0082950	NC_057927.1_cds_XP_014760807.1_6726
FBtr0083141	NC_057927.1_cds_XP_001953582.1_2131
FBtr0083142	NC_057927.1_cds_XP_001953582.1_2131
FBtr0083993	NC_057927.1_cds_XP_001954528.1_3659
FBtr0084128	NC_057927.1_cds_XP_032305751.1_2763
FBtr0084128	NC_057927.1_cds_XP_032305751.1_2763
FBtr0085254	NC_057927.1_cds_XP_001955651.1_5560
FBtr0077040	NC_057928.1_cds_XP_001957954.1_8038
FBtr0075171	NC_057928.1_cds_XP_001956488.1_10561
FBtr0332651	NC_057928.1_cds_XP_014764486.1_7692
FBtr0075045	NC_057928.1_cds_XP_014764486.1_7692
FBtr0075044	NC_057928.1_cds_XP_014764486.1_7692
FBtr0075042	NC_057928.1_cds_XP_001958173.1_7691
FBtr0075043	NC_057928.1_cds_XP_014764487.1_7690
FBtr0299788	NC_057929.1_cds_XP_001958824.1_12126
FBtr0339346	NC_057929.1_cds_XP_044571676.1_12125
FBtr0301706	NC_057929.1_cds_XP_001960497.3_15105
FBtr0088476	NC_057929.1_cds_XP_001960497.3_15105
FBtr0087854	NC_057929.1_cds_XP_001959526.1_13399
FBtr0087819	NC_057929.1_cds_XP_001959532.1_13404
FBtr0302939	NC_057929.1_cds_XP_014763026.1_13405
FBtr0310155	NC_057929.1_cds_XP_014763007.1_13467
FBtr0087772	NC_057929.1_cds_XP_014763007.1_13467
